id;Notes_A_P01;Notes_A_P02;Notes_A_P03;Notes_B_P04;Notes_B_P05;Notes_B_P06;Notes_C_P07;Notes_C_P08;Notes_C_P09;Notes_D_P10;Notes_D_P11;Notes_D_P12;Notes_E_P13;Notes_E_P14;Notes_E_P15;Notes_F_P16;Notes_F_P17;Notes_F_P18;SUM
additional-input_special-mouse-keys;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;4
additional-environment_outside-office;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;6
add-shortcut_combination-of-shortcut;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
add-shortcut_end-task;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
add-shortcut_operate/navigate-system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
add-shortcut_programming;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
add-shortcut_special-chars;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
control_binary;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;4
foot_balls;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;8
foot_heel;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;4
control_graduell;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;4
foot_whole-foot;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;4
design-angle_flat;1;0;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;8
design-angle_slightly-angled;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;0;0;11
design-physical-req_back-to-startposition;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2
design-mounted_chair-leg;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
design-connection_cable;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;8
design-connection_irrelevant;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;6
design-shape_curved;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
design-physical-req_feedback;1;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;5
design-physical-req_adjustable;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;1;0;8
design-physical-req_portable;0;1;0;1;0;1;0;0;0;1;1;1;0;1;1;1;1;1;11
design-physical-req_quiet;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;4
design-physical-req_resistance;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;10
design-aesthetics_simple;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;3
design-physical-req_stable-grip;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;4
design-connection_wireless;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;7
design-size_narrow;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;3
design-size_whole-foot;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;3
design-size_wide;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
device_balance-pad;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
device_box;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
device_buttons;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;5
device_camera-tracking;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
device_combination;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;4
device_dependent-on-task;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
device_digital-gesture-pad;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4
device_foot-moves-there;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;4
device_gestures;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;4
device_heath-info;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
design-device_device-individually;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;4
device_lever;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
device_mouse-wheel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
device_pad;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;5
device_pedal;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;1;0;1;12
device_piano-pedal;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
device_position-tracking;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
device_sensors;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
device_sensor-sock;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
device_slider;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
device_toggle-switch;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;7
design-physical-req_with-rest;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;8
device-count_four;0;0;0;1;0;0;0;0;1;1;1;0;0;1;1;0;0;0;6
device-count_one;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
device-count_three;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;7
device-count_two;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;0;7
device-motion_both-ways;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
device-motion_front-down;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
value_expansion-not-substitution;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;6
feedback_click;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;11
foot_left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
foot_right;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;8
foot-count_one;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;4
foot-count_two;0;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;1;0;10
functions_application-specific;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;6
functions_combinations;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2
functions_individualisable;0;0;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;6
functions_like-common-usage;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
functions_position-dependent;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
functions_presets;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;5
functions_system-wide;1;1;1;0;0;1;1;0;1;0;1;0;1;1;1;0;0;0;10
gesture_hold;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
gesture_rotation;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
gesture_slide;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
gesture_tap;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3
haptic_surface_diffable;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;6
impractical_cleaning;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2
motion_balance-control;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2
motion_effortless;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
motion_exhausting;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
motion_foot-movement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
motion_up-down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
design-device_one-device-one-component;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
design-device_one-device-several-components;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;15
P01;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
P02;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
P03;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
P04;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
P05;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
P06;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
P07;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
P08;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
P09;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
P10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
P11;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
P12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
P13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
P14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
P15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
P15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
P17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
P18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
seated-position_foot-off-ground;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;1;6
seated-position_foot-outstreched;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1;1;7
seated-position_foot-under-chair;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;7
seated-position_foot-under-desk;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
position_health-benefit;0;0;0;1;0;1;1;0;1;0;0;1;1;1;1;0;0;1;9
position_seated;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;18
position_slouching;1;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;1;0;9
position_standing;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
seated-position_normal;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;6
design-device_several-components-individually;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2
shortcuts_change-of-focus;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
shortcuts_change-of-window/tab;0;1;1;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;10
shortcuts_command-line;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
shortcuts_hard-to-type-chars;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
shortcuts_new-doc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
shortcuts_open-application;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
shortcuts_operating/navigating-system;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;6
shortcuts_screenshot;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
shortcuts_taskmanager;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2
shortcuts_application specific;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2
social-acceptance;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
value_sub_mouse-functions;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;1;9
tasks_3Dmodelling;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
tasks_gaming;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;6
tasks_media-editing/control;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;5
tasks_office-programms;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3
tasks_operating/navigating-system;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;4
tasks_reading;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;6
tasks_research;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;5
tasks_shopping;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2
tasks_streaming;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;6
tasks_studying;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;5
tasks_typing;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;17
testing_intuitiv;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2
tools_steamdeck;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
tools_additionals;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2
tools_controller;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;6
tools_digital-pen;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
tools_keyboard;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;17
tools_laptop;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;17
tools_microphone;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;8
tools_mouse;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;16
tools_paper;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;7
tools_pc;1;0;1;1;1;0;0;1;0;1;1;0;0;1;0;0;0;1;9
tools_shortcut;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;7
tools_smartphone;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2
tools_tablet;0;1;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;0;11
tools_touchpad;0;1;0;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;10
tools_touchscreen;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
control_standing-up;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
control_gestures;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
usecase_clicks;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;4
usecase_editing/formatiing;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;4
usecase_media-control/production;1;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;7
usecase_scrolling;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;1;1;10
usecase_shortcut;0;1;0;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;12
usage_simultaneity;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
usecase_change-of-window;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
usecase_copying-text;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
value_expanding_keyboard;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2
value_expanding-mouse;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
usecase_gaming;1;0;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;0;7
usecase_media-editing;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
value_new-function;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
usage_parallel-work;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2
usecase_presenting;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
usecase_reading;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
usage_repetitive work;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4
usecase_screenshot;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
usecase_system-operation/navigation;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
usecase_system-settings;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
usecase_transcriping/annotation;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3
usecase_typing;0;0;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;5
user_mostly_mouse;1;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;8
user_mostly-depending-on-task;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;5
user_mostly-keyboard;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;5
design-physical-req_comfortable;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
design_use-space-stationary;0;0;1;0;1;0;1;1;1;1;1;0;1;0;1;0;0;0;9
design_use-space-take-along;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;6
value_efficiency;0;0;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;11
value_fun;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;1;6
SUM;45;47;49;52;47;37;46;42;42;56;52;41;32;35;37;37;45;56;798