user_id,timestamp,key,mapped_to,event,filename,mapping_type
1,2024-09-30 08:58:41,input_1,Alt+Tab,mapping,001_20240930_085737_key_events.csv,shortcut
1,2024-09-30 08:58:41,input_2,,mapping,001_20240930_085737_key_events.csv,none
1,2024-09-30 08:58:41,input_3,,mapping,001_20240930_085737_key_events.csv,none
1,2024-09-30 08:59:39,input_1,Alt+Tab,mapping,001_20240930_085737_key_events.csv,shortcut
1,2024-09-30 08:59:39,input_2,print,mapping,001_20240930_085737_key_events.csv,keyboard_key
1,2024-09-30 08:59:39,input_3,,mapping,001_20240930_085737_key_events.csv,none
1,2024-09-30 09:00:22,input_1,Alt+Tab,mapping,001_20240930_085737_key_events.csv,shortcut
1,2024-09-30 09:00:22,input_2,win+Left,mapping,001_20240930_085737_key_events.csv,shortcut
1,2024-09-30 09:00:22,input_3,,mapping,001_20240930_085737_key_events.csv,none
1,2024-09-30 09:00:55,input_1,Alt+Tab,mapping,001_20240930_085737_key_events.csv,shortcut
1,2024-09-30 09:00:55,input_2,win+Left,mapping,001_20240930_085737_key_events.csv,shortcut
1,2024-09-30 09:00:55,input_3,win+Right,mapping,001_20240930_085737_key_events.csv,shortcut
1,2024-10-01 16:23:11,input_1,Alt+Tab,mapping,001_20241001_161248_key_events.csv,shortcut
1,2024-10-01 16:23:11,input_2,Ctrl+t,mapping,001_20241001_161248_key_events.csv,shortcut
1,2024-10-01 16:23:11,input_3,win+Right,mapping,001_20241001_161248_key_events.csv,shortcut
1,2024-10-01 16:50:00,input_1,Alt,mapping,001_20241001_161248_key_events.csv,char
1,2024-10-01 16:50:00,input_2,Ctrl+t,mapping,001_20241001_161248_key_events.csv,shortcut
1,2024-10-01 16:50:00,input_3,Tab,mapping,001_20241001_161248_key_events.csv,keyboard_key
2,2024-09-30 09:10:51,input_1,,mapping,002_20240930_091042_key_events.csv,none
2,2024-09-30 09:10:51,input_2,,mapping,002_20240930_091042_key_events.csv,none
2,2024-09-30 09:10:51,input_3,,mapping,002_20240930_091042_key_events.csv,none
2,2024-09-30 09:23:10,input_1,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:23:10,input_2,,mapping,002_20240930_091042_key_events.csv,none
2,2024-09-30 09:23:10,input_3,,mapping,002_20240930_091042_key_events.csv,none
2,2024-09-30 09:24:30,input_1,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:24:30,input_2,Tab,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:24:30,input_3,,mapping,002_20240930_091042_key_events.csv,none
2,2024-09-30 09:25:28,input_1,Ctrl+c,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 09:25:28,input_2,Tab,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:25:28,input_3,,mapping,002_20240930_091042_key_events.csv,none
2,2024-09-30 09:26:59,input_1,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:26:59,input_2,Tab,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:26:59,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:27:19,input_1,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:27:19,input_2,Tab,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:27:19,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:30:39,input_1,backspace,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:30:39,input_2,Tab,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:30:39,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:32:35,input_1,,mapping,002_20240930_091042_key_events.csv,none
2,2024-09-30 09:32:35,input_2,delete,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:32:35,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:33:53,input_1,backspace,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:33:53,input_2,delete,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:33:53,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:40:34,input_1,Enter,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:40:34,input_2,delete,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:40:34,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:49:45,input_1,Alt+Shift,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 09:49:45,input_2,delete,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:49:45,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:51:03,input_1,Alt,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:51:03,input_2,delete,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:51:03,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 09:59:54,input_1,Alt+Tab,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 09:59:54,input_2,delete,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 09:59:54,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 10:21:37,input_1,Alt,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 10:21:37,input_2,delete,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 10:21:37,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 10:22:51,input_1,Alt+Tab,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 10:22:51,input_2,delete,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 10:22:51,input_3,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 11:56:32,input_1,Alt+Tab,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 11:56:32,input_2,delete,mapping,002_20240930_091042_key_events.csv,keyboard_key
2,2024-09-30 11:56:32,input_3,Ctrl+i,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 14:08:22,input_1,Alt+Tab,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 14:08:22,input_2,,mapping,002_20240930_091042_key_events.csv,none
2,2024-09-30 14:08:22,input_3,Ctrl+i,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 14:11:06,input_1,Alt+Tab,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 14:11:06,input_2,Ctrl,mapping,002_20240930_091042_key_events.csv,char
2,2024-09-30 14:11:06,input_3,Ctrl+s,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 14:11:47,input_1,Alt+Tab,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 14:11:47,input_2,Ctrl+i,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-09-30 14:11:47,input_3,Ctrl+s,mapping,002_20240930_091042_key_events.csv,shortcut
2,2024-10-01 09:11:30,input_1,Alt+Tab,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-01 09:11:30,input_2,F8,mapping,002_20241001_090136_key_events.csv,keyboard_key
2,2024-10-01 09:11:30,input_3,Ctrl+s,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-01 09:11:43,input_1,Alt+Tab,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-01 09:11:43,input_2,F8,mapping,002_20241001_090136_key_events.csv,keyboard_key
2,2024-10-01 09:11:43,input_3,Ctrl+s,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-01 09:11:58,input_1,Alt+Tab,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-01 09:11:58,input_2,F8+fn,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-01 09:11:58,input_3,Ctrl+s,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-01 11:49:36,input_1,Alt+Tab,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-01 11:49:36,input_2,Alt+Left,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-01 11:49:36,input_3,Ctrl+s,mapping,002_20241001_090136_key_events.csv,shortcut
2,2024-10-02 09:03:46,input_1,Alt+Tab,mapping,002_20241002_090331_key_events.csv,shortcut
2,2024-10-02 09:03:46,input_2,Alt,mapping,002_20241002_090331_key_events.csv,char
2,2024-10-02 09:03:46,input_3,Ctrl+s,mapping,002_20241002_090331_key_events.csv,shortcut
2,2024-10-02 11:32:34,input_1,Alt+Tab,mapping,002_20241002_090331_key_events.csv,shortcut
2,2024-10-02 11:32:34,input_2,Ctrl+i,mapping,002_20241002_090331_key_events.csv,shortcut
2,2024-10-02 11:32:34,input_3,Ctrl+s,mapping,002_20241002_090331_key_events.csv,shortcut
2,2024-10-02 11:39:22,input_1,Alt+Tab,mapping,002_20241002_090331_key_events.csv,shortcut
2,2024-10-02 11:39:22,input_2,Ctrl+Shift+7,mapping,002_20241002_090331_key_events.csv,shortcut
2,2024-10-02 11:39:22,input_3,Ctrl+s,mapping,002_20241002_090331_key_events.csv,shortcut
3,2024-09-30 10:05:48,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:05:48,input_2,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:05:48,input_3,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:14:15,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:14:15,input_2,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:14:15,input_3,Alt+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:15:02,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:15:02,input_2,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:15:02,input_3,Alt,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:17:43,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:17:43,input_2,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:17:43,input_3,F6,mapping,003_20240930_100543_key_events.csv,keyboard_key
3,2024-09-30 10:18:48,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:18:48,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:18:48,input_3,F6,mapping,003_20240930_100543_key_events.csv,keyboard_key
3,2024-09-30 10:20:40,input_1,mouse_left+mouse_left,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:20:40,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:20:40,input_3,F6,mapping,003_20240930_100543_key_events.csv,keyboard_key
3,2024-09-30 10:23:09,input_1,mouse_left+mouse_left,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:23:09,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:23:09,input_3,Alt,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:24:40,input_1,mouse_left+mouse_left,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 10:24:40,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:24:40,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:28:19,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 10:28:19,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:28:19,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:34:38,input_1,win+Left,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:34:38,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 10:34:38,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 11:18:41,input_1,mouse_middle,mapping,003_20240930_100543_key_events.csv,char
3,2024-09-30 11:18:41,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 11:18:41,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 15:26:58,input_1,,mapping,003_20240930_100543_key_events.csv,none
3,2024-09-30 15:26:58,input_2,Ctrl+Tab,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-09-30 15:26:58,input_3,Alt+Esc,mapping,003_20240930_100543_key_events.csv,shortcut
3,2024-10-03 14:55:02,input_1,p+r,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:55:02,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:55:02,input_3,Alt+Esc,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:56:15,input_1,p+r,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:56:15,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:56:15,input_3,Ctrl+s,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:57:15,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:57:15,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:57:15,input_3,Ctrl+s,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:57:45,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:57:45,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:57:45,input_3,Ctrl+s,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:58:42,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:58:42,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:58:42,input_3,Ctrl+s,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:59:37,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 14:59:37,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 14:59:37,input_3,,mapping,003_20241003_142416_key_events.csv,none
3,2024-10-03 15:17:38,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 15:17:38,input_2,Ctrl+Tab,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:17:38,input_3,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:17:58,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 15:17:58,input_2,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:17:58,input_3,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:44:55,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 15:44:55,input_2,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:44:55,input_3,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:45:57,input_1,p+r+i+n+t,mapping,003_20241003_142416_key_events.csv,char
3,2024-10-03 15:45:57,input_2,Alt+Left,mapping,003_20241003_142416_key_events.csv,shortcut
3,2024-10-03 15:45:57,input_3,Alt+Right,mapping,003_20241003_142416_key_events.csv,shortcut
4,2024-10-07 09:42:59,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 09:42:59,input_2,Ctrl+k,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 09:42:59,input_3,,mapping,004_20241007_093710_key_events.csv,none
4,2024-10-07 10:33:05,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 10:33:05,input_2,Ctrl+k,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 10:33:05,input_3,Ctrl+h,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 11:29:14,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 11:29:14,input_2,Ctrl+k,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 11:29:14,input_3,Ctrl+h,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:41:10,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:41:10,input_2,Ctrl+k+Ctrl+c,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:41:10,input_3,Ctrl+h,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:47:10,input_1,Ctrl+f,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:47:10,input_2,Ctrl+k,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-07 13:47:10,input_3,Ctrl+h,mapping,004_20241007_093710_key_events.csv,shortcut
4,2024-10-08 10:19:58,input_1,Ctrl+f,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:19:58,input_2,Ctrl+k+Ctrl+c,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:19:58,input_3,Ctrl+k+Ctrl,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:20:03,input_1,Ctrl+f,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:20:03,input_2,Ctrl+k+Ctrl+c,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 10:20:03,input_3,Ctrl+k+Ctrl+u,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 12:04:40,input_1,Ctrl+f,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 12:04:40,input_2,Ctrl+k+Ctrl+c,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-08 12:04:40,input_3,Ctrl+k+Ctrl+u,mapping,004_20241008_101834_key_events.csv,shortcut
4,2024-10-10 09:58:32,input_1,Ctrl+f,mapping,004_20241010_095829_key_events.csv,shortcut
4,2024-10-10 09:58:32,input_2,Ctrl+k+Ctrl+c,mapping,004_20241010_095829_key_events.csv,shortcut
4,2024-10-10 09:58:32,input_3,Ctrl+k+Ctrl+u,mapping,004_20241010_095829_key_events.csv,shortcut
5,2024-10-07 09:32:43,input_1,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 09:32:43,input_2,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 09:32:43,input_3,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 11:41:38,input_1,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 11:41:38,input_2,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 11:41:38,input_3,,mapping,005_20241007_093148_key_events.csv,none
5,2024-10-07 11:44:12,input_1,playpause,mapping,005_20241007_093148_key_events.csv,media_key
5,2024-10-07 11:44:12,input_2,nexttrack,mapping,005_20241007_093148_key_events.csv,media_key
5,2024-10-07 11:44:12,input_3,Enter,mapping,005_20241007_093148_key_events.csv,keyboard_key
5,2024-10-07 19:07:22,input_1,playpause,mapping,005_20241007_093148_key_events.csv,media_key
5,2024-10-07 19:07:22,input_2,nexttrack,mapping,005_20241007_093148_key_events.csv,media_key
5,2024-10-07 19:07:22,input_3,Enter,mapping,005_20241007_093148_key_events.csv,keyboard_key
5,2024-10-08 09:14:08,input_1,playpause,mapping,005_20241008_091404_key_events.csv,media_key
5,2024-10-08 09:14:08,input_2,nexttrack,mapping,005_20241008_091404_key_events.csv,media_key
5,2024-10-08 09:14:08,input_3,Enter,mapping,005_20241008_091404_key_events.csv,keyboard_key
5,2024-10-08 20:18:36,input_1,playpause,mapping,005_20241008_091404_key_events.csv,media_key
5,2024-10-08 20:18:36,input_2,nexttrack,mapping,005_20241008_091404_key_events.csv,media_key
5,2024-10-08 20:18:36,input_3,Space,mapping,005_20241008_091404_key_events.csv,keyboard_key
